DeltaX DeltaY Theta
31.338775 0.168416 0.005374
31.376433 0.514212 0.016387
31.054600 0.727137 0.023411
31.079038 0.852323 0.027417
30.963333 1.024346 0.033071
30.619578 1.172920 0.038288
31.065603 1.249604 0.040203
30.684782 1.270246 0.041373
30.648633 1.308495 0.042668
31.025273 1.221382 0.039347
30.440652 1.155016 0.037925
30.671968 1.245798 0.040595
30.762224 1.234766 0.040118
31.646718 1.395400 0.044065
30.478010 0.861050 0.028244
30.532325 -0.893325 -0.029250
30.418349 -3.918076 -0.128101
29.234342 -8.733087 -0.290288
26.450682 -14.560204 -0.503201
22.705518 -20.812231 -0.741919
18.302128 -25.965123 -0.956807
14.307461 -28.231364 -1.101729
10.960040 -28.976799 -1.209192
8.528567 -30.213823 -1.295680
6.624330 -30.574616 -1.357433
5.193805 -31.276776 -1.406238
4.111242 -31.263346 -1.440043
3.449164 -31.384967 -1.461337
2.889656 -31.358232 -1.478906
2.480857 -31.247803 -1.491569
2.245292 -31.154882 -1.498852
1.962700 -31.007959 -1.507584
1.653615 -31.081280 -1.517643
1.378119 -30.866691 -1.526178
1.062861 -30.865340 -1.536374
0.807334 -30.942136 -1.544710
0.711408 -30.633776 -1.547578
0.135983 -30.717661 -1.566369
-2.094296 -30.508107 -1.639336
-6.377020 -29.844072 -1.781308
-12.256052 -28.264885 -1.979940
-19.461640 -25.151425 -2.229343
-25.924934 -18.299224 -2.526948
-30.089012 -8.177543 -2.876224
-29.791284 3.974864 -3.274233
-26.170877 16.345628 -3.699885
-20.021056 24.137166 -4.019935
-15.289963 26.960160 -4.196488
-11.696280 29.119441 -4.330447
-8.808016 30.442666 -4.430748
-6.614327 30.781563 -4.500728
-5.042702 31.196608 -4.552132
-4.101104 31.000101 -4.580860
-4.008801 30.810308 -4.583003
-5.170329 30.853792 -4.546356
-7.484852 30.055391 -4.468318
-10.534428 29.068158 -4.364707
-14.150905 27.512996 -4.237339
-17.944540 25.321841 -4.095876
-21.621598 22.119953 -3.938383
-24.793743 17.864347 -3.765957
-27.799671 13.165019 -3.583871
-29.450038 7.514100 -3.391410
-30.552358 1.590213 -3.193595
-30.267277 -4.504405 -2.993856
-28.617714 -10.560265 -2.788082
-26.043948 -16.405083 -2.579477
-21.940784 -20.540744 -2.389139
-18.296393 -24.571390 -2.210846
-14.844257 -26.640558 -2.079155
-13.227810 -27.892136 -2.013631
-12.282334 -28.245944 -1.980968
-11.960524 -28.211346 -1.971787
-12.230070 -28.524155 -1.975849
-12.715422 -27.856478 -1.999011
-14.006156 -27.300213 -2.044823
-15.575639 -26.636323 -2.099928
-17.165879 -25.598791 -2.161499
-18.939196 -24.368567 -2.231478
-20.663392 -22.831743 -2.306383
-22.559409 -21.303682 -2.384815
-23.905450 -19.180378 -2.465424
-25.730651 -17.279079 -2.550226
-26.918721 -14.954815 -2.634495
-27.961204 -12.618308 -2.717676
-28.951321 -10.163417 -2.803981
-29.314195 -7.816059 -2.881024
-29.903243 -6.023985 -2.942804
-30.255645 -4.488743 -2.994307
-30.575733 -3.292363 -3.034327
-30.503911 -2.430832 -3.062071
-30.428088 -1.714644 -3.085301
-30.744155 -1.166721 -3.103661
-30.535358 -0.782920 -3.115959
-30.549642 -0.402397 -3.128421
-30.807702 -0.013221 -3.141163
-30.516738 0.251901 -3.149847
-30.652515 0.451371 -3.156317
-30.815544 0.606616 -3.161275
-30.564955 0.701584 -3.164542
-30.749114 0.794652 -3.167430
-30.691458 0.883063 -3.170357
-30.538858 0.905982 -3.171250
-30.761693 0.841029 -3.168926
-30.679484 0.816646 -3.168205
-30.574639 0.862735 -3.169802
-30.783040 0.817616 -3.168147
-30.488472 0.724126 -3.165339
-30.728610 0.786497 -3.167182
-30.915975 1.189703 -3.180055
-30.408627 2.320970 -3.217771
-30.482068 4.371232 -3.284025
-29.939212 6.872921 -3.367246
-28.983383 9.642849 -3.462775
-27.842722 12.811721 -3.572852
-26.207050 16.090544 -3.692227
-24.049777 19.198892 -3.815295
-21.157787 21.848886 -3.943059
-18.376986 24.821063 -4.075074
-14.741553 26.855124 -4.210368
-11.329528 28.663693 -4.335978
-8.379755 29.265780 -4.433517
-6.310556 30.239081 -4.506653
-4.561090 30.300671 -4.562983
-3.373348 30.400221 -4.601877
-2.554436 30.500741 -4.628834
-1.605643 30.281961 -4.659416
-0.283150 30.578595 -4.703130
1.356263 30.618910 -4.756655
3.189638 30.614380 -4.816202
5.145414 30.339973 -4.880383
7.297778 29.625263 -4.953916
9.651370 29.242353 -5.031179
11.784317 28.307840 -5.106861
14.018883 27.208294 -5.188156
16.301020 26.044084 -5.271636
18.284955 24.467966 -5.354161
20.303779 22.829786 -5.439291
22.320925 21.013251 -5.527954
24.255136 19.128873 -5.615402
25.368689 16.751596 -5.699585
27.030464 14.563633 -5.788992
28.180167 12.033810 -5.879595
29.038823 9.563229 -5.965046
29.912109 7.228760 -6.046065
30.195638 5.129519 -6.114915
30.611672 3.590389 -6.166430
30.368490 2.392114 -6.204578
30.586925 1.451070 -6.235780
30.744876 0.683750 -6.260949
30.427672 0.149912 -6.278258
30.717258 -0.208195 -6.289963
30.602022 -0.579938 -6.302134
30.321271 -1.016513 -6.316697
30.691826 -1.266947 -6.324441
30.476749 -1.288522 -6.325439
30.488484 -1.336928 -6.327007
30.552073 -1.457374 -6.330850
